"","country","variable","low","high","peak"
"99","El Salvador","T",26.2577160493827,28.7962962962963,19
"100","Estonia","AH",2.90555444444444,13.0307651111111,30
"101","Estonia","flu",0,0.03681,49
"102","Estonia","RH",0.650230666666667,0.904973222222222,45
"103","Estonia","T",-5.3858024691358,18.5493827160494,30
"104","Finland","AH",2.30494616666667,11.8520983888889,30
"105","Finland","flu",0,0.009583625,6
"106","Finland","PRCP",7.01444433333333,22.5455557777778,46
"107","Finland","RH",0.663482055555556,0.915175555555556,45
"108","Finland","T",-8.83719135802469,17.283950617284,30
"109","France","AH",5.37970622222222,13.0120578333333,30
"110","France","flu",1.88888888888889e-05,0.00463141176470588,5
"111","France","PRCP",8.96722222222222,25.0644443333333,52
"112","France","RH",0.701581333333333,0.859906,48
"113","France","T",4.57716049382716,20.6265432098765,30
