"","country","week","meanflu","meantemp","meanRH","meanAH","varflu","vartemp","day"
"38","Argentina",38,0.00118233333333333,14.7453703703704,0.55168375,6.99002458333333,3.13786406060606e-06,4.67604283576506,262.5
"39","Argentina",39,0.000939769230769231,15.5790598290598,0.597017384615385,7.95052707692308,2.30062219230769e-06,4.37510881608104,269.5
"40","Argentina",40,0.000805076923076923,15.8344017094017,0.641142846153846,8.774881,1.96230391025641e-06,5.27605650522318,276.5
"41","Argentina",41,0.000978076923076923,17.3888888888889,0.655976846153846,9.73338076923077,3.96492957692308e-06,4.32934670781893,283.5
"42","Argentina",42,0.00114263636363636,18.3926767676768,0.612277818181818,9.57434081818182,4.69523945454546e-06,3.19020412457912,290.5
"43","Argentina",43,0.000523666666666667,18.6226851851852,0.617327416666667,9.84250158333333,9.03234787878788e-07,2.80968831836887,297.5
"44","Argentina",44,0.00045225,18.6851851851852,0.601140833333333,9.6281295,7.36112204545454e-07,1.58646651702207,304.5
"45","Argentina",45,0.000248083333333333,19.8703703703704,0.594787916666667,10.28156775,2.97956992424242e-07,5.93326786382343,311.5
"46","Argentina",46,0.000211384615384615,20.6089743589744,0.584362692307692,10.4966375384615,2.09423256410256e-07,3.04339783159227,318.5
"47","Argentina",47,0.000130384615384615,21.9049145299145,0.598523769230769,11.525092,6.82492564102564e-08,1.08500019784742,325.5
"48","Argentina",48,0.000213272727272727,21.3977272727273,0.617592181818182,11.5540482727273,1.53689618181818e-07,2.16860620089786,332.5
"49","Argentina",49,9.69230769230769e-05,21.3589743589744,0.586744615384615,11.0296123846154,3.56457435897436e-08,2.19566120607788,339.5
"50","Argentina",50,8.49230769230769e-05,22.8365384615385,0.580426692307692,11.8708335384615,3.65540769230769e-08,1.71599002849003,346.5
"51","Argentina",51,4.77692307692308e-05,23.0480769230769,0.610058461538462,12.5439733846154,1.22225256410256e-08,4.28956453782843,353.5
"52","Argentina",52,1.425e-05,24.0902777777778,0.599279,13.1006788333333,1.24075e-09,2.03972011784512,360.5
"53","Australia",1,0.000158285714285714,23.7559523809524,0.548059142857143,11.7774905714286,6.32762197802198e-08,0.983520723104057,3.5
"54","Australia",2,0.000237357142857143,23.8234126984127,0.562037,12.1640268571429,1.10882554945055e-07,1.83530474155474,10.5
"55","Australia",3,0.000211642857142857,24.0168650793651,0.568894857142857,12.3907745,1.38841478021978e-07,0.905097892077057,17.5
"56","Australia",4,0.000128714285714286,24.468253968254,0.572034785714286,12.7802921428571,4.76516043956044e-08,0.607058065391398,24.5
"57","Australia",5,0.000125571428571429,24.0575396825397,0.5818395,12.7123950714286,5.32531868131868e-08,2.05098104056437,31.5
"58","Australia",6,0.000179642857142857,23.0426587301587,0.604981714285714,12.5250294285714,8.64193241758242e-08,2.37465765330349,38.5
"59","Australia",7,0.000187571428571429,23.625,0.609180785714286,12.9764407857143,1.05852571428571e-07,1.19049738841406,45.5
"60","Australia",8,0.000224142857142857,23.4315476190476,0.617098785714286,12.9999689285714,1.81846593406593e-07,1.48048623829873,52.5
"61","Australia",9,0.000208071428571429,22.5565476190476,0.6152225,12.3434514285714,1.30916840659341e-07,1.98428490876408,59.5
"62","Australia",10,0.000235071428571429,22.3293650793651,0.591679214285714,11.7007108571429,1.89092071428571e-07,1.53476461809795,66.5
"63","Australia",11,0.000250571428571429,21.9761904761905,0.601347214285714,11.6390774285714,1.99241494505495e-07,1.22541039207706,73.5
"64","Australia",12,0.000265142857142857,20.9146825396825,0.630820071428571,11.4884250714286,1.81373208791209e-07,1.56059642517976,80.5
"65","Australia",13,0.000183642857142857,19.4236111111111,0.621102928571429,10.3901714285714,9.9415478021978e-08,1.52156784188034,87.5
"66","Australia",14,0.000118923076923077,19.1346153846154,0.606688769230769,9.97423730769231,3.35224102564103e-08,1.38668289015511,94.5
"67","Australia",15,0.000137714285714286,18.6388888888889,0.625938857142857,9.98620235714286,4.15757582417582e-08,1.24192782526116,101.5
"68","Australia",16,0.0001325,18.0843253968254,0.650637642857143,10.0708053571429,5.91718076923077e-08,1.29268946716863,108.5
"69","Australia",17,0.000124357142857143,16.859126984127,0.659622071428571,9.46439721428571,3.91631703296703e-08,1.55679775471442,115.5
"70","Australia",18,0.0001555,16.4603174603175,0.653996428571429,9.15885485714286,7.96465769230769e-08,1.84243996743997,122.5
"71","Australia",19,0.000143571428571429,15.4900793650794,0.661162714285714,8.74786521428571,4.89122637362637e-08,1.67765991724325,129.5
"72","Australia",20,0.000308357142857143,14.6746031746032,0.7179405,9.05871421428571,1.06922401098901e-07,1.55798059964727,136.5
"73","Australia",21,0.0003605,13.7222222222222,0.709750642857143,8.43515592857143,2.30297038461538e-07,0.975308641975308,143.5
"74","Australia",22,0.000504571428571429,13.3392857142857,0.718136785714286,8.33856535714286,3.96495186813187e-07,1.15564797856464,150.5
"75","Australia",23,0.000727428571428571,12.890873015873,0.732672214285714,8.27770814285714,9.9269610989011e-07,1.51287562745896,157.5
"76","Australia",24,0.000886714285714286,11.7757936507937,0.723065071428571,7.6094215,1.93661345054945e-06,0.83065815357482,164.5
"77","Australia",25,0.00127964285714286,11.671626984127,0.723503642857143,7.55671985714286,2.48068517032967e-06,0.797768493080993,171.5
"78","Australia",26,0.00180135714285714,11.5714285714286,0.720686642857143,7.489325,8.19340532417582e-06,1.02168973002306,178.5
"79","Australia",27,0.0024825,11.2202380952381,0.719302071428571,7.29391121428571,1.57069204230769e-05,0.654494810744812,185.5
"80","Australia",28,0.00316114285714286,11.2440476190476,0.736081857142857,7.51345842857143,2.47455325934066e-05,1.27400030525031,192.5
"81","Australia",29,0.0031505,11.1547619047619,0.713988285714286,7.21777485714286,1.89786751923077e-05,0.581637498304165,199.5
"82","Australia",30,0.00351378571428571,11.7043650793651,0.705664785714286,7.38252842857143,2.33864266428571e-05,0.955318986568988,206.5
"83","Australia",31,0.00378178571428571,11.9414682539683,0.675155785714286,7.17146107142857,2.3281744489011e-05,0.909133979446478,213.5
"84","Australia",32,0.00400071428571429,11.9632936507937,0.675341428571429,7.18340335714286,1.85686545274725e-05,1.25823857855108,220.5
"85","Australia",33,0.00361164285714286,12.0912698412698,0.667352357142857,7.16974342857143,1.91710268626374e-05,0.771537104870437,227.5
"86","Australia",34,0.00355214285714286,12.5396825396825,0.657936857142857,7.25408771428571,1.14829745934066e-05,0.925773300773302,234.5
"87","Australia",35,0.00314385714285714,13.8521825396825,0.6697305,8.02210278571429,9.48060182417582e-06,1.75728891093474,241.5
"88","Australia",36,0.00245064285714286,13.984126984127,0.651642714285714,7.84961257142857,4.66878424725275e-06,0.978717270383937,248.5
"89","Australia",37,0.00209064285714286,14.3968253968254,0.634280571428571,7.83131221428571,4.67474424725275e-06,0.813797313797314,255.5
"90","Australia",38,0.00176935714285714,15.7361111111111,0.622782285714286,8.33402935714286,4.47697609340659e-06,1.34766737891738,262.5
"91","Australia",39,0.00152978571428571,15.9920634920635,0.5897595,8.03942014285714,3.63388541208791e-06,1.31783340116673,269.5
"92","Australia",40,0.00104628571428571,16.5813492063492,0.597738642857143,8.40628307142857,2.25675868131868e-06,1.31285188576855,276.5
"93","Australia",41,0.000898230769230769,16.5512820512821,0.586944615384615,8.29164723076923,1.56842285897436e-06,1.90918803418803,283.5
"94","Australia",42,0.000607307692307692,17.6773504273504,0.571301769230769,8.57478046153846,7.23582397435897e-07,1.46238920544476,290.5
