"","country","minflu","maxflu","peakflu","troughflu","minT","maxT","peakT","troughT","minRH","maxRH","peakRH","troughRH"
"19","Dominican Republic",0,0.000587375,22,2,24.9253472222222,29.0694444444444,30,1,0.801283625,0.895664375,44,11
"20","Egypt",1.25e-05,0.00143591666666667,1,32,13.9336419753086,30.6319444444444,31,2,0.38413925,0.631343416666667,1,22
"21","El Salvador",0,0.002592,29,5,25.912037037037,28.8981481481481,19,2,0.617093333333333,0.896804,39,10
"22","Estonia",0,0.036126,7,23,-8.17777777777778,19.6444444444444,30,4,0.66666775,0.9443512,47,23
"23","Finland",0,0.0105593846153846,6,21,-8.99679487179487,18.6111111111111,27,6,0.62731025,0.911756,40,21
"24","France",0,0.00525257142857143,5,31,4.17460317460317,20.6296296296296,30,5,0.687361166666667,0.859350285714286,48,20
"25","French Guiana",0,0.000517111111111111,12,46,25.7098765432099,27.4761904761905,39,7,0.833356857142857,0.967746571428571,20,39
"26","Germany",0,0.00190307692307692,7,27,0.929487179487179,19.0810185185185,31,4,0.65375525,0.893911214285714,47,18
"27","Ghana",4.74e-05,0.001854,13,40,25.2805555555556,29.5861111111111,14,32,0.5933802,0.9044852,36,2
"28","Greece",0,0.00993907142857143,6,22,9.66269841269841,27.9097222222222,32,5,0.5752628,0.789948666666667,47,25
"29","Honduras",0,0.00121566666666667,31,52,22.787037037037,28.5,19,48,0.700482666666667,0.915236333333333,48,15
"30","Iceland",0,0.0322282307692308,8,22,-1.45619658119658,11.5694444444444,30,9,0.725184,0.8463005,39,16
"31","India",6.22222222222222e-06,5.64444444444444e-05,33,47,18.8796296296296,31.6423611111111,19,2,0.4818341,0.892328555555556,33,10
"32","Indonesia",1.6e-05,0.000139,5,27,26.8055555555556,27.9694444444444,18,29,0.83913775,0.907485,51,34
"33","Ireland",0,0.016987125,1,24,4.56349206349206,15.5416666666667,30,9,0.780228166666667,0.894788888888889,47,19
"34","Israel",0,0.00640721428571429,2,18,12.8536324786325,28.7777777777778,36,3,0.360291,0.753853,32,18
"35","Italy",0,0.00186657142857143,4,19,5.95436507936508,28.8888888888889,32,4,0.557675,0.831417,39,32
"36","Jamaica",0,0.00319816666666667,37,25,25.5740740740741,28.6444444444444,32,10,0.744724833333333,0.8650165,43,10
"37","Japan",1.87692307692308e-05,0.00525814285714286,3,33,4.24007936507936,27.6858974358974,31,5,0.603035142857143,0.864308692307692,28,10
"38","Kazakhstan",0,0.00247725,5,17,-16.3055555555556,24.75,29,3,0.4024175,0.76362075,11,19
"39","Kenya",2.875e-06,0.00128871428571429,39,52,19.0949074074074,22.9884259259259,5,31,0.581066166666667,0.841484666666667,17,6
"40","Kyrgyzstan",0,0.0014942,3,19,-9.88888888888889,26.0138888888889,31,51,0.371613666666667,0.786773,47,39
"41","Latvia",0,0.0400103076923077,10,23,-4.42521367521368,19.75,29,4,0.633900818181818,0.903935454545455,47,17
"42","Luxembourg",0,0.101972,6,20,-0.157407407407407,13.0793650793651,17,4,0.584897142857143,0.9216175,2,16
"43","Madagascar",9.48181818181818e-05,0.0004819,21,36,21.8638888888889,27.479797979798,52,28,0.731503363636364,0.8800554,7,41
"44","Malaysia",1.76153846153846e-05,0.000197923076923077,7,40,26.6369047619048,28.2713675213675,21,1,0.873486,0.923133769230769,44,32
"45","Mexico",2.26363636363636e-05,0.00110390909090909,4,22,17.9520202020202,28.1830808080808,32,3,0.531493909090909,0.782137181818182,36,14
"46","Mongolia",0,0.0110635,9,20,-22.7743055555556,20.6481481481481,30,2,0.368560714285714,0.65573375,3,21
"47","Morocco",0,0.0007184,1,16,10.9184027777778,27.9166666666667,32,5,0.530913,0.7988861,48,32
"48","Netherlands",0,0.004082625,5,25,1.94965277777778,18.125,31,5,0.74015525,0.908652777777778,46,16
"49","New Caledonia",0,0.0281543636363636,36,46,19.9848484848485,26.6868686868687,6,33,0.761310166666667,0.896477461538462,12,28
"50","New Zealand",0,0.017504,41,1,8.56746031746032,18.1944444444444,8,28,0.73484,0.897468,50,47
"51","Niger",0,0.00033725,8,1,21.25,34.6111111111111,19,2,0.133378,0.82177825,33,12
"52","Norway",0,0.0356542857142857,8,28,-2.20734126984127,15.3958333333333,30,5,0.676023375,0.816548625,38,22
"53","Oman",0.000326,0.01113125,5,22,19.9930555555556,33.2444444444444,24,52,0.3938548,0.6643592,29,12
"54","Pakistan",1.2e-06,0.0003348,1,21,10.0944444444444,32.9555555555556,25,1,0.3830488,0.7994992,32,18
