"","country","minflu","maxflu","peakflu","troughflu","minT","maxT","peakT","troughT","minRH","maxRH","peakRH","troughRH","meanvarflu","meanvartemp","varvarflu","varvartemp","meanmeanflu","minAH","maxAH","peakAH","troughAH","meanAH","meanT"
"21","El Salvador",0,0.002592,29,5,25.912037037037,28.8981481481481,19,2,0.617093333333333,0.896804,39,10,1.13588210929487e-06,1.420536129412,3.74827672994444e-12,0.677429393496631,0.000698820192307692,16.0796748333333,23.0192856,37,10,20.0089113820513,27.1305600071225
"22","Estonia",0,0.036126,7,23,-8.17777777777778,19.6444444444444,30,4,0.66666775,0.9443512,47,23,0.000235084586367949,13.5605385901393,3.08404615158978e-07,269.930446773192,0.00747502692307692,2.4696486,13.9428798,30,4,6.97086599583333,6.41820690883191
"23","Finland",0,0.0105593846153846,6,21,-8.99679487179487,18.6111111111111,27,6,0.62731025,0.911756,40,21,NA,NA,NA,NA,0.00183161040337867,2.33172569230769,13.571896,27,5,5.94473441075559,4.2934384896324
"24","France",0,0.00525257142857143,5,31,4.17460317460317,20.6296296296296,30,5,0.687361166666667,0.859350285714286,48,20,5.76344803159042e-06,5.9338878243637,1.40515974426896e-10,10.1633161921273,0.000985650121673199,5.19614335714286,13.1292496666667,34,5,8.70330196481355,12.167114576129
"25","Germany",0,0.00190307692307692,7,27,0.929487179487179,19.0810185185185,31,4,0.65375525,0.893911214285714,47,18,5.82721926703478e-07,7.94195412324252,2.50646904413697e-12,20.0424675872353,0.000324904942013115,4.41355869230769,12.3800743333333,34,5,7.62076055185898,9.65871808183507
"26","Ghana",4.74e-05,0.001854,13,40,25.2805555555556,29.5861111111111,14,32,0.5933802,0.9044852,36,2,7.26784366987179e-07,0.597752267826053,4.98779209937384e-12,0.436478473937551,0.000381888782051282,16.1060788,23.4812082,18,2,21.6155217926282,27.5837651353276
"27","Greece",0,0.00993907142857143,6,22,9.66269841269841,27.9097222222222,32,5,0.5752628,0.789948666666667,47,25,5.14017609206413e-05,3.09972219989192,2.94667862440181e-08,3.76885058311608,0.00111921293129947,6.81961571428571,16.330416,32,5,11.0656181900414,18.0938077354744
"28","Honduras",0,0.00121566666666667,31,52,22.787037037037,28.5,19,48,0.700482666666667,0.915236333333333,48,15,7.01957917948718e-07,1.06976940883191,9.96840679798427e-13,1.08163486122416,0.000442460897435897,17.017917,22.1057318333333,39,10,19.8761870532051,25.9282852564103
"29","Iceland",0,0.0322282307692308,8,22,-1.45619658119658,11.5694444444444,30,9,0.725184,0.8463005,39,16,0.000170747721897178,5.05807758938518,6.41917826196187e-08,14.3723627355247,0.00804892322949486,3.32254823076923,8.45115175,30,9,5.2890948264366,4.2490595445924
"30","India",6.22222222222222e-06,5.64444444444444e-05,33,47,18.8796296296296,31.6423611111111,19,2,0.4818341,0.892328555555556,33,10,2.10642417998668e-09,0.696079040183496,1.45649907234451e-17,0.304729853180938,1.98355672105672e-05,9.91319877777778,24.2631797,32,2,17.4434332465181,26.3200293340918
"31","Indonesia",1.6e-05,0.000139,5,27,26.8055555555556,27.9694444444444,18,29,0.83913775,0.907485,51,34,2.77925352564103e-09,0.10695272930516,2.99856110335876e-17,0.00575142113593466,6.77201923076923e-05,21.849599,24.150659,18,34,23.2441507240385,27.4570512820513
"32","Ireland",0,0.016987125,1,24,4.56349206349206,15.5416666666667,30,9,0.780228166666667,0.894788888888889,47,19,8.03182883723291e-05,3.86862732282292,5.72186429074255e-08,8.31622820770038,0.00282480053418803,5.44548014285714,11.56987775,30,9,8.17634773745421,9.86498609415276
"33","Israel",0,0.00640721428571429,2,18,12.8536324786325,28.7777777777778,36,3,0.360291,0.753853,32,18,NA,NA,NA,NA,0.00195423443593444,6.98170746153846,21.19656,32,6,10.8684970984316,19.7393984517382
"34","Italy",0,0.00186657142857143,4,19,5.95436507936508,28.8888888888889,32,4,0.557675,0.831417,39,32,NA,NA,NA,NA,0.000222129297147297,5.32609292857143,17.769993,33,6,10.2908521490564,15.7137973985891
"35","Jamaica",0,0.00319816666666667,37,25,25.5740740740741,28.6444444444444,32,10,0.744724833333333,0.8650165,43,10,8.33976068063187e-07,0.543836677484681,5.39406981972492e-12,0.191891205088682,0.000387862477106227,17.7827618333333,23.542461625,43,10,20.9090171322344,27.330754286223
"36","Japan",1.87692307692308e-05,0.00525814285714286,3,33,4.24007936507936,27.6858974358974,31,5,0.603035142857143,0.864308692307692,28,10,1.17009305309946e-06,2.23425108174708,7.10053226202004e-12,1.07833161453594,0.000945890187376726,3.9359675,21.8394088461538,33,5,11.0350264641167,15.7063603597257
"37","Kazakhstan",0,0.00247725,5,17,-16.3055555555556,24.75,29,3,0.4024175,0.76362075,11,19,6.11417529807692e-07,12.3136582111626,2.38783704394993e-12,248.145007955646,0.000326844551282051,1.06106125,11.0343423333333,31,3,5.25574542179487,6.81110665954416
"38","Kenya",2.875e-06,0.00128871428571429,39,52,19.0949074074074,22.9884259259259,5,31,0.581066166666667,0.841484666666667,17,6,2.50323800755495e-07,1.14652878909606,4.82215694449506e-13,1.71922437786235,0.000370194482600733,11.606335,15.3089258333333,18,6,13.2202744021291,20.9500295711233
"39","Kyrgyz Republic",0,0.0014942,3,19,-9.88888888888889,26.0138888888889,31,51,0.371613666666667,0.786773,47,39,2.24757068269231e-07,12.1084325043526,2.49694547542472e-13,229.729769697057,0.000223058012820513,2.00572533333333,10.279589,32,51,6.12894386153846,11.5657585470085
"40","Latvia",0,0.0400103076923077,10,23,-4.42521367521368,19.75,29,4,0.633900818181818,0.903935454545455,47,17,NA,NA,NA,NA,0.00758195743573094,3.20827046153846,14.935648,30,4,6.78727266367449,6.62376954989455
"41","Luxembourg",0,0.101972,6,20,-0.157407407407407,13.0793650793651,17,4,0.584897142857143,0.9216175,2,16,NA,NA,NA,NA,0.0200276322128852,3.92321883333333,9.79263914285714,40,4,6.0055398210084,6.03662464985994
"42","Madagascar",9.48181818181818e-05,0.0004819,21,36,21.8638888888889,27.479797979798,52,28,0.731503363636364,0.8800554,7,41,1.28343216229604e-07,0.477706299776613,1.17315331467256e-14,0.0688463704088736,0.000254734586247086,14.1749144,23.0787043,7,28,18.8423360095571,25.2137209434084
"43","Malaysia",1.76153846153846e-05,0.000197923076923077,7,40,26.6369047619048,28.2713675213675,21,1,0.873486,0.923133769230769,44,32,2.90590796351085e-08,0.230439018533303,2.39271889864093e-15,0.0142908319961772,6.702039306847e-05,22.4850351428571,24.5141575384615,18,5,23.4908125165892,27.3530483939138
"44","Mexico",2.26363636363636e-05,0.00110390909090909,4,22,17.9520202020202,28.1830808080808,32,3,0.531493909090909,0.782137181818182,36,14,5.38569668036131e-07,0.774291638788167,1.10291241792688e-12,0.32629055313675,0.000281981497668998,9.51817136363636,20.530422,35,3,14.4694311448135,23.967280982906
"45","Mongolia",0,0.0110635,9,20,-22.7743055555556,20.6481481481481,30,2,0.368560714285714,0.65573375,3,21,2.8155772635264e-05,9.40002067240566,2.59742025303799e-09,60.5711573772496,0.00244082581654457,0.557911125,9.85478883333333,30,2,3.66976721783425,0.837226864570614
"46","Morocco",0,0.0007184,1,16,10.9184027777778,27.9166666666667,32,5,0.530913,0.7988861,48,32,NA,NA,NA,NA,8.50329594017094e-05,7.1355018,16.061113,34,6,11.1210858780983,18.5126120311016
"47","Netherlands",0,0.004082625,5,25,1.94965277777778,18.125,31,5,0.74015525,0.908652777777778,46,16,5.20687318050977e-06,6.73879113842583,1.00456950774468e-10,30.7053322715501,0.00080071192002442,4.991705,13.3042545,34,5,8.26508863179945,9.9549684786664
"48","New Caledonia",0,0.0281543636363636,36,46,19.9848484848485,26.6868686868687,6,33,0.761310166666667,0.896477461538462,12,28,0.000240468098612596,0.819553871880929,1.36961737243775e-07,0.205857169974547,0.00655313943428366,13.2709692727273,21.9702808333333,9,33,17.7419587258607,23.6752774913833
"49","New Zealand",0,0.017504,41,1,8.56746031746032,18.1944444444444,8,28,0.73484,0.897468,50,47,NA,NA,NA,NA,0.00377000319338781,6.820836,13.187846,5,26,9.31347063689889,12.9456186471411
"50","Niger",0,0.00033725,8,1,21.25,34.6111111111111,19,2,0.133378,0.82177825,33,12,1.11272740384615e-08,1.78612106530943,4.83098273082608e-16,3.33253986449118,5.72451923076923e-05,3.9500325,21.23642625,33,3,11.3152791923077,29.2389823717949
"51","Norway",0,0.0356542857142857,8,28,-2.20734126984127,15.3958333333333,30,5,0.676023375,0.816548625,38,22,0.000760273900780736,5.71537528234187,2.20945803209906e-06,15.5011213043494,0.00887097700878182,3.20004214285714,10.3588404285714,31,9,5.75573411198812,5.44928783081828
"52","Oman",0.000326,0.01113125,5,22,19.9930555555556,33.2444444444444,24,52,0.3938548,0.6643592,29,12,1.06994570679487e-05,1.38232449697293,3.68657873821553e-10,1.59744211371299,0.00259276923076923,9.0113184,20.326708,23,10,14.4254894461538,27.5416800213675
"53","Pakistan",1.2e-06,0.0003348,1,21,10.0944444444444,32.9555555555556,25,1,0.3830488,0.7994992,32,18,7.93155384615385e-09,2.15577924679487,4.99115081196782e-16,3.74894651124884,4.0125e-05,6.386243,24.2149586,31,4,14.1604491608974,23.9182603276353
"54","Panama",0,0.00475683333333333,26,1,26.3078703703704,29.0648148148148,13,48,0.669724833333333,0.8884425,47,11,2.75087045320513e-06,0.495819360359291,3.66972808305344e-11,0.105435530518296,0.000901708333333333,19.0963173333333,23.0725075,25,5,21.6188711602564,27.5427795584046
"55","Paraguay",3.27e-05,0.004353875,27,14,17.3420138888889,28.4847222222222,2,30,0.6087305,0.838706875,25,35,7.79221201507173e-06,8.11911897660596,2.31494364564535e-10,53.4705273577223,0.00112168327991453,10.70781925,20.1127018,8,30,15.4788304552198,23.3295668837336
"56","Peru",9.57e-05,0.0012745,30,52,18.4694444444444,24.7861111111111,6,29,0.7435069,0.8395481,23,46,8.6647347232906e-07,1.15296025080458,3.99225716770723e-12,0.341059417837408,0.000419788888888889,12.6389987,18.2131448,6,36,14.7851263113248,21.2095886752137
"57","Philippines",3.14285714285714e-06,0.0003635,32,52,26.0791666666667,28.925,18,3,0.8546056,0.9260504,45,16,3.58729269119769e-08,0.242980330176511,3.14013313258454e-15,0.0133283454507918,0.000148973026973027,21.4760318,25.1662989,23,5,23.8879328489011,27.5353601259851
